"filename", "language", "CSS", "JavaScript", "XML", "Markdown", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\Project\AdminPanel\admin-pannel\src\components\adminUser\ChangePassword\DesktopChangePassword.js", "JavaScript", 0, 192, 0, 0, 0, 0, 0, 7, 199
"d:\Project\AdminPanel\admin-pannel\src\components\adminUser\ChangePassword\MobileChangePassword.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 3, 134
"d:\Project\AdminPanel\admin-pannel\src\components\adminUser\ChangePassword\TabletChangePassword.js", "JavaScript", 0, 132, 0, 0, 0, 0, 0, 2, 134
"d:\Project\AdminPanel\admin-pannel\src\components\adminUser\adminUserInfoDetails\MobileAdminUserInfoDetailsForm.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 2, 120
"d:\Project\AdminPanel\admin-pannel\src\components\adminUser\signOut\DesktopSignout.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 2, 67
"d:\Project\AdminPanel\admin-pannel\src\components\callServices\CallServicesReportsTable.js", "JavaScript", 0, 132, 0, 0, 0, 0, 4, 5, 141
"d:\Project\AdminPanel\admin-pannel\src\components\callServices\DesktopCallServicesForm.js", "JavaScript", 0, 152, 0, 0, 0, 0, 4, 2, 158
"d:\Project\AdminPanel\admin-pannel\src\components\callServices\MobileCallServiceReportsForm.js", "JavaScript", 0, 160, 0, 0, 0, 0, 4, 2, 166
"d:\Project\AdminPanel\admin-pannel\src\components\callServices\TabletCallServicesReportsForm.js", "JavaScript", 0, 168, 0, 0, 0, 0, 4, 2, 174
"d:\Project\AdminPanel\admin-pannel\src\components\card\keys\DesktopKeysTable.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 2, 110
"d:\Project\AdminPanel\admin-pannel\src\components\card\keys\MobileKeysTable.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 2, 117
"d:\Project\AdminPanel\admin-pannel\src\components\card\keys\TabletKeysTable.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 2, 115
"d:\Project\AdminPanel\admin-pannel\src\components\financial\accumulativeFinancialReports\AccumulativeFinantialReportsTable.js", "JavaScript", 0, 280, 0, 0, 0, 0, 19, 21, 320
"d:\Project\AdminPanel\admin-pannel\src\components\financial\financialReports\DesktopFinancialReportsForm.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 2, 133
"d:\Project\AdminPanel\admin-pannel\src\components\financial\financialReports\FinantialReportsTable.js", "JavaScript", 0, 140, 0, 0, 0, 0, 4, 6, 150
"d:\Project\AdminPanel\admin-pannel\src\components\financial\financialReports\MobileFinancialReportsForm.js", "JavaScript", 0, 140, 0, 0, 0, 0, 0, 2, 142
"d:\Project\AdminPanel\admin-pannel\src\components\financial\financialReports\TabletFinancialReportsForm.js", "JavaScript", 0, 147, 0, 0, 0, 0, 0, 2, 149
"d:\Project\AdminPanel\admin-pannel\src\components\financial\increaseCustomerCredit\IncreaseCustomerCreditModal.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 3, 114
"d:\Project\AdminPanel\admin-pannel\src\components\financial\increaseCustomerCredit\MobileIncreaseCustomerCreditForm.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 3, 132
"d:\Project\AdminPanel\admin-pannel\src\components\financial\increaseCustomerCredit\TabletIncreaseCustomerCreditForm.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 3, 134
"d:\Project\AdminPanel\admin-pannel\src\components\loginReports\LoginReportsTable.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 2, 82
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\DesktopTableServicesManagement.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 2, 113
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\MobileTableServicesManagement.js", "JavaScript", 0, 177, 0, 0, 0, 0, 0, 2, 179
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\TabletTableServicesManagement.js", "JavaScript", 0, 177, 0, 0, 0, 0, 0, 2, 179
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\addServiceGroup\AddServiceGroupMobileForm.js", "JavaScript", 0, 181, 0, 0, 0, 0, 0, 3, 184
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\addServiceGroup\AddServiceGroupTabletForm.js", "JavaScript", 0, 193, 0, 0, 0, 0, 0, 3, 196
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\addService\AddServiceMobileForm.js", "JavaScript", 0, 178, 0, 0, 0, 0, 0, 3, 181
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\addService\AddServiceTabletForm.js", "JavaScript", 0, 183, 0, 0, 0, 0, 0, 3, 186
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\beneficiaries\DesktopBeneficiariesTable.js", "JavaScript", 0, 105, 0, 0, 0, 0, 0, 3, 108
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\beneficiaries\MobileBeneficiariesTable.js", "JavaScript", 0, 165, 0, 0, 0, 0, 0, 3, 168
"d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\beneficiaries\TabletBeneficiariesTable.js", "JavaScript", 0, 163, 0, 0, 0, 0, 0, 2, 165
